PlateLocHeight,PlateLocSide,called_strike_prob
5.6,1.4,0.00
5.6,1.5,0.00
5.6,1.6,0.00
5.6,1.7,0.00
5.6,1.8,0.00
5.6,2.1,0.00
5.6,2.4,0.00
5.6,2.6,0.00
5.6,3,0.00
5.6,3.1,0.00
5.6,3.2,0.00
5.6,4.3,0.00
5.6,2.9,0.00
5.6,2.8,0.00
5.6,2.7,0.00
5.6,2.5,0.00
5.6,2.3,0.00
5.6,2.2,0.00
5.6,2,0.00
5.6,1.9,0.00
5.6,1.2,0.00
5.6,0.5,0.00
5.6,-0.9,0.00
5.6,-1,0.00
5.6,-1.1,0.00
5.6,-1.2,0.00
5.6,-1.6,0.00
5.6,-1.9,0.00
5.6,-2.4,0.00
5.6,-2.5,0.00
5.6,-2.6,0.00
5.6,-2.8,0.00
5.6,-2.9,0.00
5.6,-3,0.00
5.5,-2.7,0.00
5.5,-2.2,0.00
5.5,-2.1,0.00
5.5,-2,0.00
5.5,-1.9,0.00
5.5,-1.6,0.00
5.5,-1.5,0.00
5.5,-1.4,0.00
5.5,-1.3,0.00
5.5,-1.2,0.00
5.5,-1.1,0.00
5.5,-1,0.00
5.5,-0.9,0.00
5.5,-0.7,0.00
5.5,-0.6,0.00
5.5,-0.5,0.00
5.5,-0.4,0.00
5.5,-0.3,0.00
5.5,-0.2,0.00
5.5,-0.1,0.00
5.5,0,0.00
5.5,0.1,0.00
5.5,0.2,0.00
5.5,0.3,0.00
5.5,0.4,0.00
5.5,0.5,0.00
5.5,0.6,0.00
5.5,0.7,0.00
5.5,0.8,0.00
5.5,0.9,0.00
5.5,1,0.00
5.5,1.1,0.00
5.5,1.2,0.00
5.5,1.3,0.00
5.5,1.4,0.00
5.5,1.5,0.00
5.5,1.6,0.00
5.5,1.8,0.00
5.5,2.2,0.00
5.5,2.3,0.00
5.5,2.4,0.00
5.5,2.8,0.00
5.5,4.5,0.00
5.5,3,0.00
5.5,2.9,0.00
5.5,2.7,0.00
5.5,2.6,0.00
5.5,2.5,0.00
5.5,2.1,0.00
5.5,2,0.00
5.5,1.9,0.00
5.5,1.7,0.00
5.5,-0.8,0.00
5.5,-1.7,0.00
5.5,-1.8,0.00
5.5,-2.3,0.00
5.5,-2.4,0.00
5.5,-2.5,0.00
5.5,-2.6,0.00
5.5,-2.8,0.00
5.5,-2.9,0.00
5.5,-3,0.00
5.4,-3.2,0.00
5.4,-2.5,0.00
5.4,-2.1,0.00
5.4,-2,0.00
5.4,-1.7,0.00
5.4,-1.6,0.00
5.4,-1.3,0.00
5.4,-1.1,0.00
5.4,-1,0.00
5.4,-0.9,0.00
5.4,-0.8,0.00
5.4,-0.7,0.00
5.4,-0.6,0.00
5.4,-0.5,0.00
5.4,-0.4,0.00
5.4,-0.3,0.00
5.4,-0.2,0.00
5.4,-0.1,0.00
5.4,0,0.00
5.4,0.1,0.00
5.4,0.2,0.00
5.4,0.3,0.00
5.4,0.4,0.00
5.4,0.5,0.00
5.4,0.6,0.00
5.4,0.7,0.00
5.4,0.8,0.00
5.4,0.9,0.00
5.4,1,0.00
5.4,1.1,0.00
5.4,1.2,0.00
5.4,1.4,0.00
5.4,1.5,0.00
5.4,1.6,0.00
5.4,1.7,0.00
5.4,1.8,0.00
5.4,1.9,0.00
5.4,2,0.00
5.4,2.1,0.00
5.4,2.3,0.00
5.4,2.7,0.00
5.4,3.1,0.00
5.4,3.3,0.00
5.4,3.4,0.00
5.4,3.5,0.00
5.4,3,0.00
5.4,2.9,0.00
5.4,2.8,0.00
5.4,2.6,0.00
5.4,2.5,0.00
5.4,2.4,0.00
5.4,2.2,0.00
5.4,1.3,0.00
5.4,-1.2,0.00
5.4,-1.4,0.00
5.4,-1.5,0.00
5.4,-1.8,0.00
5.4,-1.9,0.00
5.4,-2.2,0.00
5.4,-2.3,0.00
5.4,-2.4,0.00
5.4,-2.6,0.00
5.4,-2.7,0.00
5.4,-2.8,0.00
5.4,-2.9,0.00
5.4,-3,0.00
5.3,-3.2,0.00
5.3,-2.8,0.00
5.3,-2.2,0.00
5.3,-2,0.00
5.3,-1.9,0.00
5.3,-1.6,0.00
5.3,-1.5,0.00
5.3,-1.4,0.00
5.3,-1.3,0.00
5.3,-1.2,0.00
5.3,-1.1,0.00
5.3,-1,0.00
5.3,-0.9,0.00
5.3,-0.8,0.00
5.3,-0.7,0.00
5.3,-0.6,0.00
5.3,-0.5,0.00
5.3,-0.4,0.00
5.3,-0.3,0.00
5.3,-0.2,0.00
5.3,-0.1,0.00
5.3,0,0.00
5.3,0.1,0.00
5.3,0.2,0.00
5.3,0.3,0.00
5.3,0.4,0.00
5.3,0.5,0.00
5.3,0.6,0.00
5.3,0.7,0.00
5.3,0.8,0.00
5.3,0.9,0.00
5.3,1,0.00
5.3,1.1,0.00
5.3,1.2,0.00
5.3,1.3,0.00
5.3,1.4,0.00
5.3,1.5,0.00
