launch_angle,launch_speed,av_xwOBAcon
-30,139,NA
-79,136,NA
-75,136,NA
-34,134,NA
-29,131,NA
-28,131,NA
-22,131,NA
-17,130,NA
-82,129,NA
-58,129,NA
-10,129,0.408
-59,128,NA
-8,127,NA
5,127,NA
78,125,NA
-8,124,0.408
-59,123,NA
-78,122,NA
-41,122,NA
-27,122,NA
-21,122,0.174
-19,122,NA
-4,122,0.49
0,122,0.553
21,122,NA
-69,121,NA
-36,121,NA
0,121,0.529
8,121,0.857
13,121,1.043
17,121,1.327
21,121,1.573
25,121,1.937
-17,120,0.227
-6,120,0.444
-4,120,0.465
-2,120,NA
0,120,0.509
3,120,0.636
5,120,0.717
7,120,0.799
8,120,0.838
13,120,1.011
24,120,NA
34,120,NA
68,120,NA
75,120,NA
-20,119,0.168
-17,119,0.216
-11,119,NA
-8,119,NA
-5,119,0.511
-4,119,0.465
-2,119,NA
-1,119,0.545
1,119,0.61
2,119,0.604
3,119,0.677
7,119,0.799
8,119,0.913
10,119,0.896
11,119,0.9
12,119,NA
13,119,0.984
14,119,NA
15,119,1.118
17,119,1.444
18,119,1.311
22,119,1.926
25,119,NA
36,119,NA
-20,118,NA
-16,118,0.356
-13,118,0.306
-10,118,0.318
-5,118,0.428
-3,118,0.491
-2,118,0.471
-1,118,0.504
2,118,0.573
3,118,0.624
4,118,0.726
5,118,0.692
6,118,0.73
7,118,0.713
8,118,0.781
9,118,0.818
10,118,0.903
11,118,0.947
12,118,0.96
13,118,1.008
16,118,1.185
17,118,1.29
18,118,1.405
20,118,1.673
23,118,1.91
24,118,1.869
26,118,1.968
27,118,1.967
28,118,1.968
29,118,1.997
-54,117,NA
-33,117,NA
-23,117,NA
-13,117,0.359
-10,117,0.336
-8,117,0.386
-7,117,0.427
-6,117,0.431
-5,117,0.414
-4,117,0.524
-3,117,0.492
-2,117,0.507
-1,117,0.512
0,117,0.524
1,117,0.574
2,117,0.575
3,117,0.62
4,117,0.651
5,117,0.728
6,117,0.805
7,117,0.734
8,117,0.764
9,117,0.817
10,117,0.845
12,117,0.977
13,117,1.009
14,117,1.034
15,117,1.07
16,117,1.152
17,117,1.362
18,117,1.431
19,117,1.501
20,117,1.682
21,117,1.762
22,117,1.883
23,117,1.891
24,117,1.928
25,117,1.985
26,117,1.909
27,117,2.005
28,117,NA
30,117,NA
31,117,NA
33,117,2.027
35,117,1.946
39,117,NA
-28,116,0.176
-23,116,0.163
-17,116,0.356
-15,116,0.3
-14,116,0.262
-13,116,0.302
-9,116,0.36
-8,116,0.378
-7,116,0.404
-6,116,0.403
-5,116,0.436
-4,116,0.453
-3,116,0.484
-2,116,0.486
-1,116,0.551
0,116,0.524
1,116,0.565
2,116,0.574
3,116,0.594
4,116,0.669
5,116,0.704
6,116,0.749
7,116,0.73
8,116,0.788
9,116,0.818
10,116,0.887
11,116,0.913
12,116,0.915
13,116,0.934
14,116,1.006
15,116,1.105
16,116,1.118
17,116,1.261
18,116,1.405
19,116,1.6
20,116,1.637
21,116,1.755
22,116,1.838
23,116,1.887
24,116,1.947
25,116,1.974
26,116,1.989
27,116,2.005
29,116,2.016
30,116,2.018
31,116,1.984
32,116,1.987
34,116,NA
42,116,NA
45,116,NA
-79,115,NA
-43,115,0.109
-41,115,NA
-31,115,NA
-25,115,0.241
-18,115,NA
-15,115,0.3
-14,115,0.293
-12,115,0.303
-11,115,NA
-9,115,0.363
-8,115,0.464
-7,115,0.409
-6,115,0.494
-5,115,0.458
-4,115,0.452
-3,115,0.464
-2,115,0.499
-1,115,0.489
0,115,0.553
1,115,0.557
2,115,0.555
3,115,0.588
4,115,0.637
5,115,0.661
6,115,0.717
7,115,0.728
8,115,0.763
9,115,0.814
10,115,0.914
11,115,0.911
12,115,0.911
13,115,0.953
14,115,0.974
15,115,1.078
16,115,1.136
17,115,1.248
18,115,1.41
19,115,1.577
20,115,1.656
21,115,1.8
22,115,1.871
23,115,1.921
24,115,1.971
25,115,1.982
26,115,1.936
27,115,2.013
28,115,1.982
29,115,2.03
30,115,1.974
31,115,1.984
32,115,1.987
33,115,NA
34,115,1.987
37,115,1.91
39,115,NA
49,115,NA
80,115,0.006
-34,114,0.168
-30,114,0.158
-26,114,NA
-23,114,0.15
-20,114,NA
-19,114,NA
-17,114,NA
-15,114,0.257
-14,114,0.281
-13,114,0.306
-12,114,0.282
-11,114,0.32
-10,114,0.319
-9,114,0.344
-8,114,0.42
-7,114,0.437
-6,114,0.437
-5,114,0.449
-4,114,0.449
-3,114,0.469
-2,114,0.489
-1,114,0.497
0,114,0.531
1,114,0.547
2,114,0.571
3,114,0.584
4,114,0.62
5,114,0.638
6,114,0.713
7,114,0.756
8,114,0.796
9,114,0.849
10,114,0.896
11,114,0.9
12,114,0.917
13,114,0.897
14,114,0.988
15,114,1.043
16,114,1.125
17,114,1.239
18,114,1.405
19,114,1.578
20,114,1.719
21,114,1.819
22,114,1.875
23,114,1.927
24,114,1.944
25,114,1.973
26,114,1.979
27,114,1.98
28,114,2
29,114,1.969
30,114,1.96
31,114,1.989
32,114,1.988
33,114,1.996
34,114,1.988
37,114,1.85
38,114,1.741
41,114,NA
45,114,1.08
-56,113,0.128
-41,113,NA
-35,113,NA
-29,113,0.177
-26,113,0.147
-24,113,0.212
-20,113,0.212
-19,113,0.162
-18,113,0.246
-17,113,0.33
-16,113,0.27
-15,113,0.318
-14,113,0.297
-13,113,0.304
-12,113,0.324
-11,113,0.309
-10,113,0.326
-9,113,0.35
-8,113,0.399
-7,113,0.393
-6,113,0.432
-5,113,0.443
-4,113,0.436
-3,113,0.46
-2,113,0.502
-1,113,0.486
0,113,0.513
1,113,0.541
2,113,0.575
3,113,0.605
4,113,0.645
5,113,0.659
6,113,0.691
7,113,0.749
8,113,0.786
9,113,0.845
10,113,0.896
11,113,0.908
12,113,0.904
13,113,0.87
14,113,0.924
15,113,0.998
16,113,1.09
17,113,1.204
18,113,1.415
19,113,1.557
20,113,1.698
21,113,1.828
22,113,1.898
23,113,1.945
24,113,1.966
25,113,1.98
26,113,1.982
27,113,2.013
28,113,1.969
29,113,1.984
30,113,1.961
31,113,1.989
32,113,1.976
33,113,1.973
34,113,1.964
35,113,1.934
36,113,1.866
37,113,NA
38,113,1.819
39,113,1.673
40,113,1.574
41,113,NA
44,113,1.104
54,113,NA
83,113,0
-72,112,0.199
-58,112,NA
-51,112,NA
-42,112,0.136
-40,112,NA
-38,112,0.185
-37,112,0.141
-21,112,0.265
-20,112,0.252
-18,112,0.272
-16,112,0.21
-15,112,0.304
-14,112,0.298
-13,112,0.246
-12,112,0.319
-11,112,0.341
-10,112,0.322
-9,112,0.363
-8,112,0.371
-7,112,0.406
-6,112,0.398
-5,112,0.442
-4,112,0.439
-3,112,0.445
-2,112,0.487
-1,112,0.493
0,112,0.505
1,112,0.535
2,112,0.565
3,112,0.594
4,112,0.622
5,112,0.636
6,112,0.664
7,112,0.698
8,112,0.786
9,112,0.86
10,112,0.909
11,112,0.905
12,112,0.903
13,112,0.868
14,112,0.859
15,112,0.936
16,112,1.043
17,112,1.179
18,112,1.381
19,112,1.546
20,112,1.685
21,112,1.813
22,112,1.913
23,112,1.944
24,112,1.966
25,112,1.984
26,112,1.978
27,112,1.98
28,112,1.985
29,112,1.99
30,112,1.983
31,112,1.994
32,112,1.985
33,112,1.967
34,112,1.964
35,112,1.919
36,112,1.835
37,112,1.767
38,112,1.674
39,112,1.443
40,112,NA
41,112,NA
42,112,NA
46,112,NA
48,112,NA
49,112,NA
50,112,NA
56,112,0.095
73,112,0.056
74,112,NA
81,112,NA
83,112,NA
-71,111,0.144
-42,111,NA
-39,111,NA
-28,111,0.174
-27,111,NA
-25,111,0.334
-24,111,0.229
-23,111,0.277
-22,111,0.303
-21,111,0.303
-20,111,0.198
-19,111,0.316
-18,111,0.257
-17,111,0.331
-16,111,0.251
-15,111,0.261
-14,111,0.286
-13,111,0.287
-12,111,0.293
-11,111,0.309
-10,111,0.322
-9,111,0.336
-8,111,0.375
-7,111,0.405
-6,111,0.412
-5,111,0.434
-4,111,0.442
-3,111,0.448
-2,111,0.483
-1,111,0.479
0,111,0.508
1,111,0.535
2,111,0.555
3,111,0.574
4,111,0.588
5,111,0.615
6,111,0.65
7,111,0.7
8,111,0.761
9,111,0.847
10,111,0.918
11,111,0.924
12,111,0.9
13,111,0.86
14,111,0.844
15,111,0.896
16,111,0.973
17,111,1.14
18,111,1.305
19,111,1.49
20,111,1.658
21,111,1.804
22,111,1.903
23,111,1.947
24,111,1.954
25,111,1.975
26,111,1.984
27,111,1.984
28,111,1.982
29,111,1.988
30,111,1.98
31,111,1.983
32,111,1.964
33,111,1.959
34,111,1.922
35,111,1.875
36,111,1.864
37,111,1.764
38,111,1.649
39,111,1.559
40,111,1.388
41,111,NA
42,111,1.085
44,111,1.033
45,111,0.725
47,111,0.533
48,111,0.463
49,111,NA
83,111,0
-79,110,0.3
-60,110,NA
-49,110,NA
-44,110,0.126
-42,110,NA
-39,110,0.096
-36,110,NA
-35,110,NA
-34,110,0.162
-33,110,NA
-32,110,0.132
-30,110,NA
-29,110,0.217
-28,110,NA
-27,110,0.215
-26,110,NA
-25,110,0.177
-24,110,0.182
-23,110,0.176
-22,110,0.201
-21,110,0.168
-20,110,0.25
-19,110,0.24
-18,110,0.252
-17,110,0.245
-16,110,0.295
-15,110,0.282
-14,110,0.266
-13,110,0.301
-12,110,0.29
-11,110,0.312
-10,110,0.315
-9,110,0.323
-8,110,0.362
-7,110,0.389
-6,110,0.379
-5,110,0.404
-4,110,0.418
-3,110,0.431
-2,110,0.463
-1,110,0.465
0,110,0.48
1,110,0.511
2,110,0.54
3,110,0.554
4,110,0.564
5,110,0.613
6,110,0.641
7,110,0.688
8,110,0.738
9,110,0.851
10,110,0.928
11,110,0.936
12,110,0.889
13,110,0.85
14,110,0.8
15,110,0.841
16,110,0.942
17,110,1.084
18,110,1.234
19,110,1.431
20,110,1.615
21,110,1.792
22,110,1.884
23,110,1.941
24,110,1.95
25,110,1.975
26,110,1.987
27,110,1.98
28,110,1.977
29,110,1.975
30,110,1.98
31,110,1.978
32,110,1.963
33,110,1.923
34,110,1.914
35,110,1.857
36,110,1.761
37,110,1.726
38,110,1.659
39,110,1.465
40,110,1.344
41,110,1.274
42,110,1.205
43,110,0.926
45,110,0.746
46,110,0.598
48,110,0.438
49,110,0.318
50,110,0.265
51,110,0.229
57,110,NA
58,110,NA
-76,109,NA
-65,109,NA
-64,109,0.171
-61,109,NA
-59,109,NA
-58,109,NA
-53,109,0.143
-52,109,0.239
-49,109,NA
-47,109,NA
-46,109,NA
-44,109,NA
-41,109,NA
-40,109,0.118
-38,109,0.117
-37,109,NA
-35,109,0.139
-33,109,0.116
-32,109,0.111
-31,109,0.132
-30,109,0.126
-29,109,0.127
-28,109,0.143
-27,109,0.155
-26,109,0.146
-25,109,0.181
-24,109,0.153
-23,109,0.18
-22,109,0.187
-21,109,0.212
-20,109,0.174
-19,109,0.219
-18,109,0.253
-17,109,0.232
-16,109,0.264
-15,109,0.255
-14,109,0.25
-13,109,0.285
-12,109,0.296
-11,109,0.297
-10,109,0.307
-9,109,0.331
-8,109,0.352
-7,109,0.364
-6,109,0.367
-5,109,0.395
-4,109,0.386
-3,109,0.426
-2,109,0.451
-1,109,0.455
0,109,0.477
1,109,0.507
2,109,0.532
3,109,0.549
4,109,0.569
5,109,0.601
6,109,0.624
7,109,0.663
8,109,0.729
9,109,0.832
10,109,0.921
11,109,0.922
12,109,0.893
13,109,0.821
14,109,0.769
15,109,0.791
16,109,0.855
17,109,0.988
18,109,1.154
19,109,1.366
20,109,1.552
21,109,1.733
22,109,1.848
23,109,1.901
24,109,1.942
25,109,1.972
26,109,1.976
27,109,1.972
28,109,1.975
29,109,1.973
30,109,1.975
31,109,1.953
32,109,1.94
33,109,1.915
34,109,1.874
35,109,1.807
36,109,1.723
37,109,1.658
38,109,1.542
39,109,1.389
40,109,1.26
41,109,1.164
42,109,1.015
43,109,0.995
44,109,0.862
45,109,0.576
47,109,0.547
48,109,0.438
49,109,0.354
50,109,0.248
51,109,0.231
54,109,0.117
58,109,NA
60,109,NA
61,109,NA
75,109,0
-85,108,NA
-78,108,NA
-74,108,0.264
-66,108,0.13
-57,108,NA
-53,108,NA
-50,108,NA
-47,108,NA
-46,108,NA
-44,108,0.13
-39,108,NA
-38,108,NA
-37,108,0.131
-36,108,0.13
-35,108,NA
-34,108,0.137
-33,108,NA
-32,108,0.108
-31,108,0.116
-30,108,0.261
-29,108,0.127
-28,108,0.134
-27,108,0.15
-26,108,0.138
-25,108,0.175
-24,108,0.155
-23,108,0.166
-22,108,0.198
-21,108,0.187
-20,108,0.202
-19,108,0.232
-18,108,0.235
-17,108,0.238
-16,108,0.243
-15,108,0.249
-14,108,0.267
-13,108,0.289
-12,108,0.309
-11,108,0.309
-10,108,0.323
-9,108,0.328
-8,108,0.347
-7,108,0.367
-6,108,0.361
-5,108,0.392
-4,108,0.388
-3,108,0.418
-2,108,0.452
-1,108,0.46
0,108,0.485
1,108,0.502
2,108,0.528
3,108,0.54
4,108,0.572
5,108,0.592
6,108,0.63
7,108,0.655
8,108,0.72
9,108,0.819
10,108,0.906
11,108,0.918
12,108,0.895
13,108,0.818
14,108,0.781
15,108,0.791
16,108,0.798
17,108,0.917
18,108,1.077
19,108,1.287
20,108,1.476
21,108,1.653
22,108,1.8
23,108,1.872
24,108,1.933
25,108,1.953
26,108,1.965
27,108,1.961
28,108,1.967
29,108,1.959
30,108,1.944
31,108,1.954
32,108,1.923
33,108,1.899
34,108,1.838
35,108,1.775
36,108,1.713
37,108,1.57
38,108,1.488
39,108,1.395
40,108,1.257
41,108,1.087
42,108,1.024
43,108,0.882
44,108,0.754
45,108,0.617
46,108,0.484
47,108,0.427
48,108,0.384
49,108,NA
50,108,0.224
51,108,0.163
52,108,0.135
53,108,NA
54,108,0.087
55,108,0.045
56,108,0.05
58,108,NA
60,108,0.029
66,108,0.019
76,108,NA
-74,107,NA
-59,107,0.102
-57,107,NA
-55,107,NA
-50,107,NA
-49,107,NA
-44,107,NA
-41,107,NA
-39,107,0.125
-38,107,NA
-37,107,0.127
-36,107,NA
-35,107,0.136
-34,107,0.139
-33,107,0.133
-32,107,0.11
-31,107,0.182
-30,107,0.257
-29,107,0.187
-28,107,0.146
-27,107,0.156
-26,107,0.152
-25,107,0.166
-24,107,0.171
-23,107,0.162
-22,107,0.183
-21,107,0.196
-20,107,0.222
-19,107,0.206
-18,107,0.24
-17,107,0.234
-16,107,0.225
-15,107,0.261
-14,107,0.258
-13,107,0.271
-12,107,0.294
-11,107,0.311
-10,107,0.319
-9,107,0.323
-8,107,0.331
-7,107,0.324
-6,107,0.358
-5,107,0.377
-4,107,0.387
-3,107,0.417
-2,107,0.448
-1,107,0.45
0,107,0.481
1,107,0.501
2,107,0.527
3,107,0.548
4,107,0.564
5,107,0.6
6,107,0.626
7,107,0.652
8,107,0.694
9,107,0.813
10,107,0.896
11,107,0.911
12,107,0.89
13,107,0.829
14,107,0.775
15,107,0.757
16,107,0.775
17,107,0.856
18,107,1
19,107,1.185
20,107,1.373
21,107,1.551
22,107,1.722
23,107,1.824
24,107,1.899
25,107,1.914
26,107,1.941
27,107,1.944
28,107,1.946
29,107,1.947
30,107,1.927
31,107,1.911
32,107,1.888
33,107,1.855
34,107,1.794
35,107,1.707
36,107,1.623
37,107,1.51
38,107,1.357
39,107,1.271
40,107,1.145
41,107,1.003
42,107,0.85
43,107,0.743
44,107,0.63
45,107,0.542
46,107,0.457
47,107,0.367
48,107,0.3
49,107,0.26
50,107,0.171
51,107,0.147
52,107,0.147
53,107,0.077
54,107,0.044
57,107,NA
59,107,NA
63,107,0.045
66,107,NA
76,107,NA
-76,106,0.167
-71,106,0.252
-67,106,0.251
-61,106,0.244
-57,106,0.18
-56,106,NA
-51,106,NA
-50,106,NA
-49,106,0.213
-46,106,0.082
-44,106,0.08
-43,106,NA
-42,106,NA
-41,106,0.108
-40,106,NA
-39,106,0.118
-38,106,0.114
-37,106,0.127
-36,106,NA
-35,106,0.102
-34,106,NA
-33,106,0.122
-32,106,0.136
-31,106,0.108
-30,106,0.121
-29,106,0.116
-28,106,0.148
-27,106,0.147
-26,106,0.143
-25,106,0.167
-24,106,0.175
-23,106,0.2
-22,106,0.172
-21,106,0.204
-20,106,0.199
-19,106,0.216
-18,106,0.236
-17,106,0.233
-16,106,0.248
-15,106,0.257
-14,106,0.25
-13,106,0.262
-12,106,0.296
-11,106,0.303
-10,106,0.31
-9,106,0.32
-8,106,0.32
-7,106,0.306
-6,106,0.343
-5,106,0.365
-4,106,0.376
-3,106,0.421
-2,106,0.44
-1,106,0.424
0,106,0.443
1,106,0.497
2,106,0.515
3,106,0.547
4,106,0.579
5,106,0.603
6,106,0.613
7,106,0.648
8,106,0.662
9,106,0.784
10,106,0.877
11,106,0.899
12,106,0.887
13,106,0.829
14,106,0.747
15,106,0.706
16,106,0.748
17,106,0.825
18,106,0.93
19,106,1.082
20,106,1.295
21,106,1.43
22,106,1.643
23,106,1.779
24,106,1.855
25,106,1.882
26,106,1.912
27,106,1.907
28,106,1.926
29,106,1.898
30,106,1.893
31,106,1.875
32,106,1.844
33,106,1.793
34,106,1.695
35,106,1.602
36,106,1.532
37,106,1.438
38,106,1.28
39,106,1.158
40,106,1.014
41,106,0.911
42,106,0.811
43,106,0.653
44,106,0.62
45,106,0.452
46,106,0.418
47,106,0.309
48,106,0.272
49,106,0.19
50,106,0.14
51,106,0.072
52,106,0.097
53,106,0.047
54,106,0.016
55,106,0.022
56,106,0.02
58,106,NA
61,106,0.032
62,106,NA
67,106,NA
73,106,0
75,106,NA
80,106,0
81,106,0
-69,105,NA
-68,105,0.246
-66,105,0.268
-63,105,NA
-62,105,NA
-57,105,NA
-52,105,NA
-49,105,0.213
-47,105,0.173
-45,105,NA
-43,105,NA
-42,105,0.072
-41,105,0.113
-40,105,NA
-39,105,0.118
-38,105,NA
-35,105,0.124
-34,105,0.116
-33,105,0.138
-32,105,0.19
-31,105,0.12
-30,105,0.16
-29,105,0.157
-28,105,0.156
-27,105,0.164
-26,105,0.152
-25,105,0.15
-24,105,0.166
-23,105,0.179
-22,105,0.194
-21,105,0.185
-20,105,0.201
-19,105,0.214
-18,105,0.211
-17,105,0.219
-16,105,0.228
-15,105,0.244
-14,105,0.233
-13,105,0.252
-12,105,0.28
-11,105,0.292
-10,105,0.304
-9,105,0.312
-8,105,0.304
-7,105,0.32
-6,105,0.337
-5,105,0.359
-4,105,0.374
-3,105,0.401
-2,105,0.421
-1,105,0.413
0,105,0.423
1,105,0.474
2,105,0.51
3,105,0.528
4,105,0.571
5,105,0.59
6,105,0.591
7,105,0.637
8,105,0.664
9,105,0.776
10,105,0.868
11,105,0.89
12,105,0.869
13,105,0.832
14,105,0.763
15,105,0.678
16,105,0.715
17,105,0.744
18,105,0.836
19,105,0.981
20,105,1.178
21,105,1.319
22,105,1.523
23,105,1.701
24,105,1.783
25,105,1.84
26,105,1.872
27,105,1.871
28,105,1.873
29,105,1.845
30,105,1.848
31,105,1.819
32,105,1.76
33,105,1.701
34,105,1.58
35,105,1.49
36,105,1.386
37,105,1.304
38,105,1.19
39,105,1.061
40,105,0.924
41,105,0.792
42,105,0.735
43,105,0.582
44,105,0.526
45,105,0.404
46,105,0.346
47,105,0.259
48,105,0.202
49,105,0.149
50,105,0.121
51,105,0.102
52,105,0.074
53,105,0.053
54,105,0.03
55,105,0.036
56,105,0.006
57,105,0.019
58,105,0.035
59,105,NA
60,105,0.012
62,105,0.018
63,105,0.018
64,105,0.003
65,105,0.006
68,105,0.013
72,105,NA
73,105,0
-74,104,NA
-67,104,NA
-55,104,NA
-54,104,NA
-52,104,0.114
-50,104,NA
-49,104,NA
-48,104,NA
-45,104,NA
-41,104,NA
-40,104,0.069
-37,104,NA
-36,104,0.093
-35,104,NA
-34,104,0.116
-33,104,0.108
-32,104,0.12
-31,104,0.12
-30,104,0.142
-29,104,0.153
-28,104,0.152
-27,104,0.164
-26,104,0.156
-25,104,0.158
-24,104,0.161
-23,104,0.182
-22,104,0.176
-21,104,0.189
-20,104,0.189
-19,104,0.203
-18,104,0.216
-17,104,0.195
-16,104,0.224
-15,104,0.243
-14,104,0.248
-13,104,0.249
-12,104,0.261
-11,104,0.276
-10,104,0.288
-9,104,0.279
-8,104,0.306
-7,104,0.327
-6,104,0.339
-5,104,0.35
-4,104,0.37
-3,104,0.383
-2,104,0.403
-1,104,0.401
0,104,0.435
1,104,0.472
2,104,0.489
3,104,0.52
4,104,0.552
5,104,0.568
6,104,0.566
7,104,0.612
8,104,0.665
9,104,0.751
10,104,0.841
11,104,0.894
12,104,0.859
13,104,0.854
14,104,0.758
15,104,0.7
16,104,0.696
17,104,0.705
18,104,0.753
19,104,0.891
20,104,1.045
21,104,1.225
22,104,1.379
23,104,1.575
24,104,1.66
25,104,1.776
26,104,1.813
27,104,1.804
28,104,1.833
29,104,1.792
30,104,1.781
31,104,1.736
32,104,1.691
33,104,1.595
34,104,1.496
35,104,1.39
36,104,1.295
37,104,1.191
38,104,1.076
39,104,0.928
40,104,0.775
41,104,0.685
42,104,0.576
43,104,0.525
44,104,0.426
45,104,0.346
46,104,0.273
47,104,0.194
48,104,0.141
49,104,0.13
50,104,0.083
51,104,0.052
52,104,0.046
53,104,0.028
54,104,0.026
55,104,0.017
56,104,0.019
57,104,0.026
58,104,0.014
59,104,0.017
60,104,0.015
61,104,0.046
62,104,0.019
63,104,NA
64,104,0.003
66,104,NA
69,104,0.003
73,104,NA
78,104,NA
-82,103,NA
-68,103,0.246
-56,103,NA
-55,103,0.09
-54,103,0.145
-51,103,NA
-47,103,NA
-46,103,0.069
-45,103,0.075
-44,103,NA
-43,103,0.091
-42,103,0.094
-41,103,0.067
-40,103,0.117
-39,103,0.076
-38,103,NA
-37,103,0.072
-36,103,0.09
-35,103,0.091
-34,103,0.112
-33,103,0.093
-32,103,0.121
-31,103,0.135
-30,103,0.136
-29,103,0.141
-28,103,0.144
-27,103,0.155
-26,103,0.158
-25,103,0.166
-24,103,0.17
-23,103,0.199
-22,103,0.172
-21,103,0.176
-20,103,0.185
-19,103,0.19
-18,103,0.195
-17,103,0.209
-16,103,0.209
-15,103,0.228
-14,103,0.247
-13,103,0.245
-12,103,0.247
-11,103,0.261
-10,103,0.258
-9,103,0.256
-8,103,0.284
-7,103,0.3
-6,103,0.328
-5,103,0.34
-4,103,0.354
-3,103,0.377
-2,103,0.382
-1,103,0.399
0,103,0.417
1,103,0.452
2,103,0.485
3,103,0.52
4,103,0.544
5,103,0.556
6,103,0.569
7,103,0.612
8,103,0.656
9,103,0.738
10,103,0.821
11,103,0.896
12,103,0.875
13,103,0.834
14,103,0.745
15,103,0.716
16,103,0.668
17,103,0.662
18,103,0.668
19,103,0.788
20,103,0.954
21,103,1.088
22,103,1.22
23,103,1.427
24,103,1.565
25,103,1.626
26,103,1.716
27,103,1.734
28,103,1.743
29,103,1.693
30,103,1.665
31,103,1.619
32,103,1.566
33,103,1.47
34,103,1.341
35,103,1.26
36,103,1.131
37,103,1.01
38,103,0.883
39,103,0.76
40,103,0.612
41,103,0.58
42,103,0.459
43,103,0.387
44,103,0.322
45,103,0.273
46,103,0.218
47,103,0.156
48,103,0.118
49,103,0.097
50,103,0.046
51,103,0.033
52,103,0.041
53,103,0.021
54,103,0.019
55,103,0.016
56,103,0.015
57,103,0.011
58,103,0.022
59,103,0.007
60,103,0.022
61,103,0.018
62,103,0.028
63,103,0.018
65,103,0.012
66,103,0.006
67,103,0.006
69,103,NA
71,103,0
77,103,NA
80,103,NA
-84,102,0.317
-78,102,0.262
-69,102,NA
-66,102,0.242
-57,102,0.19
-48,102,NA
-44,102,0.074
-41,102,0.108
-40,102,0.067
-39,102,0.09
-38,102,0.069
-37,102,0.148
-36,102,0.123
-35,102,0.098
-34,102,0.108
-33,102,0.097
-32,102,0.124
-31,102,0.122
-30,102,0.14
-29,102,0.12
-28,102,0.152
-27,102,0.144
-26,102,0.152
-25,102,0.166
-24,102,0.183
-23,102,0.18
-22,102,0.172
-21,102,0.169
-20,102,0.172
-19,102,0.173
-18,102,0.187
-17,102,0.197
-16,102,0.196
-15,102,0.208
-14,102,0.216
-13,102,0.222
-12,102,0.25
-11,102,0.251
-10,102,0.258
-9,102,0.25
-8,102,0.286
-7,102,0.281
-6,102,0.325
-5,102,0.341
-4,102,0.345
-3,102,0.378
-2,102,0.371
-1,102,0.41
0,102,0.422
1,102,0.425
2,102,0.496
3,102,0.509
4,102,0.536
5,102,0.551
6,102,0.58
7,102,0.619
8,102,0.664
9,102,0.739
10,102,0.825
11,102,0.893
12,102,0.874
13,102,0.819
14,102,0.755
15,102,0.679
16,102,0.629
17,102,0.621
18,102,0.618
19,102,0.676
20,102,0.842
21,102,0.933
22,102,1.077
23,102,1.242
24,102,1.417
25,102,1.488
26,102,1.563
27,102,1.601
28,102,1.615
29,102,1.556
30,102,1.568
31,102,1.476
32,102,1.401
33,102,1.329
34,102,1.233
35,102,1.152
36,102,0.969
37,102,0.824
38,102,0.699
39,102,0.593
40,102,0.501
41,102,0.44
42,102,0.358
43,102,0.289
44,102,0.249
45,102,0.215
46,102,0.152
47,102,0.103
48,102,0.076
49,102,0.047
50,102,0.031
51,102,0.019
52,102,0.016
53,102,0.023
54,102,0.021
55,102,0.016
56,102,0.012
57,102,0.029
58,102,0.019
59,102,0.026
60,102,0.018
61,102,0.023
62,102,0.018
63,102,0.009
64,102,0.008
65,102,0.01
66,102,0.033
67,102,0.011
68,102,0.003
69,102,NA
70,102,0.007
72,102,NA
73,102,0.003
74,102,0.032
75,102,0
77,102,0
-82,101,0.24
-75,101,NA
-74,101,0.166
-73,101,0.315
-71,101,0.237
-69,101,0.26
-65,101,NA
-61,101,0.096
-59,101,NA
-52,101,NA
-51,101,0.107
-50,101,NA
-48,101,0.111
-46,101,NA
-45,101,NA
-44,101,NA
-43,101,0.126
-42,101,0.064
-41,101,0.092
-40,101,0.161
-39,101,0.071
-38,101,0.084
-37,101,0.091
-36,101,0.093
-35,101,0.121
-34,101,0.098
-33,101,0.113
-32,101,0.083
-31,101,0.132
-30,101,0.14
-29,101,0.146
-28,101,0.138
-27,101,0.147
-26,101,0.148
-25,101,0.168
-24,101,0.173
-23,101,0.197
-22,101,0.188
-21,101,0.173
-20,101,0.163
-19,101,0.165
-18,101,0.173
-17,101,0.183
-16,101,0.206
-15,101,0.197
-14,101,0.202
-13,101,0.218
-12,101,0.239
-11,101,0.242
-10,101,0.252
-9,101,0.28
-8,101,0.292
-7,101,0.275
-6,101,0.315
-5,101,0.342
-4,101,0.338
-3,101,0.363
-2,101,0.378
-1,101,0.397
0,101,0.421
1,101,0.416
2,101,0.483
3,101,0.515
4,101,0.535
5,101,0.548
6,101,0.575
7,101,0.599
8,101,0.628
9,101,0.71
10,101,0.815
11,101,0.872
12,101,0.862
13,101,0.833
14,101,0.762
15,101,0.652
16,101,0.597
17,101,0.57
18,101,0.559
19,101,0.604
20,101,0.715
21,101,0.81
22,101,0.958
23,101,1.07
24,101,1.225
25,101,1.316
26,101,1.367
27,101,1.419
28,101,1.474
29,101,1.41
30,101,1.354
31,101,1.324
32,101,1.209
33,101,1.162
34,101,1.067
35,101,0.97
36,101,0.828
37,101,0.678
38,101,0.553
39,101,0.516
40,101,0.405
41,101,0.338
42,101,0.275
43,101,0.245
44,101,0.179
45,101,0.133
46,101,0.1
47,101,0.07
48,101,0.038
49,101,0.017
50,101,0.012
51,101,0.013
52,101,0.014
53,101,0.012
54,101,0.008
55,101,0.016
56,101,0.012
57,101,0.019
58,101,0.017
59,101,0.021
60,101,0.01
61,101,0.018
62,101,0.02
63,101,0.011
64,101,0.027
